institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
CFSC,La Colegio de la Frontera Sur San Cristobal Chiapas,MX,CS,CFSC,,10000,4,0,University,16.7036,-92.6091,,Snapshot,FALSE,FALSE
CHAS,Chicago Academy of Sciences,USA,IL,ENT,,70000,4,0.37,University,41.9546,-87.6733,http://naturemuseum.org/the-museum/collections/invertebrates,Snapshot,TRUE,FALSE
CHP,Crane Hollow Preserve,USA,OH,CHP,,120000,3,0,Private,39.4801,-82.5839,http://cranehollow.org/research.html,No,FALSE,FALSE
CHSC,Chadron State College,USA,NB,ENT,Entomology Collection,1000,4,0,University,42.8197,-103.0004,,No,FALSE,FALSE
CICC,Colección de Insectos Campo Celaya INIFAP,MX,GT,CICC,,80000,4,0,Referency,20.5792,-100.8198,,Snapshot,FALSE,FALSE
CIEC,Ciegler Collection,USA,SC,CIEC,,12000,4,0,University,34.676,-82.8364,,No,FALSE,FALSE
CIUS,Colección de Invertebrados de la Universidad de la Sierra,MX,SO,CIUS,,5000,4,0,University,29.8194,-109.6783,,Snapshot,FALSE,FALSE
CIUS,Colección de Invertebrados de la Universidad de la Sierra,MX,SO,USI,UniSierra-Invertebrates,25000,4,0,Private,29.8229,-109.6784,http://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=124,Live,FALSE,FALSE
CLEV,Cleveland Museum of Natural History ,USA,OH,CMNHENT,Invertebrate Zoology Collection,1000000,2,0.1,Private,41.5116,-81.6131,http://www.cmnh.org/c-r/invertebrate-zoology,Snapshot,TRUE,TRUE
CMNH,Carnegie Museum of Natural History,USA,PA,CMNH,,7400000,1,0,Private,40.4433,-79.9505,https://carnegiemnh.org/researcher/sections/invertebrate-zoology/,No,FALSE,FALSE
CMNIC,Canadian Museum of Nature Insect Collection,CA,ON,CMNIC,,1538690,2,0.01,Private,45.4118,-75.6906,http://www.nature.ca/en/research-collections/collections/animals,Snapshot,FALSE,FALSE
CNCI,Canadian National Collection of Insects,CA,ON,CNCI,,17000000,1,0,Government,45.3926,-75.7172,http://www.canacoll.org/,No,FALSE,TRUE
CNHM,Cincinnati Museum of Natural History,USA,OH,CNHM,,100000,3,0,Private,39.11,-84.5377,https://www.boonshoftmuseum.org/experience-more/departments/collections1/,No,FALSE,FALSE
COC,College of Charleston,USA,SC,COC,,50000,4,0,University,32.7832,-79.9374,,No,FALSE,FALSE
COLC,Colorado College ,USA,CO,AC,Arthropod Collection,21760,4,0,University,38.8466,-104.8244,https://www.coloradocollege.edu/academics/dept/obe/BiodiversityCollections/entomology-collection.html,No,FALSE,FALSE
CPUP,California State Polytechnic University ,USA,CA,PBC,Pomona Biodiversity Collections - Entomology,11000,4,0,University,34.0581,-117.8251,https://www.cpp.edu/~sci/biological-sciences/bio-collection.shtml,No,FALSE,FALSE
CPUSL,California Polytechnic University San Luis Obispo,USA,CA,CPUSL,,1000000,2,0,University,35.3004,-120.6601,https://bio.calpoly.edu/content/facilities,No,FALSE,FALSE
CSCA,California State Collection of Arthropods,USA,CA,CSCA,,1500000,2,0.02,Government,38.5747,-121.492,https://www.cdfa.ca.gov/plant/ppd/csca.html,No,FALSE,FALSE
CSU,Colorado State University,USA,CO,CSUC, C.P. Gillette Museum of Arthropod Diversity,3600000,1,0.05,University,40.5774,-105.0802,http://bspm.agsci.colostate.edu/01-2/gillette-museum/,Live,TRUE,TRUE
CSUEB,California State University East Bay ,USA,CA,CSUEBNHM,Natural History Museum,50000,4,0,University,37.6577,-122.0564,,Live,TRUE,TRUE
CUAC,Clemson University ,USA,SC,CUAC,Arthropod Collection,1300000,2,0,University,34.676,-82.8364,https://sites.google.com/site/clemsonarthropodcollection/,Live,TRUE,FALSE
CUAT,Colección de Insectos de la Universidad Autónoma de Tamaulipas,MX,TM,CUAT,,20000,4,0,University,23.7324,-99.1446,,Snapshot,FALSE,FALSE
CUIC,Cornell University,USA,NY,IC,Insect Collection,7000000,1,0.01,University,42.4475,-76.4805,http://cuic.entomology.cornell.edu/,No,FALSE,FALSE
CZIIZD,Universidad Autónoma De San Luis Potosí,MX,SL,CZIZD,,10000,4,0,University,22.1434,-101.0142,,Snapshot,FALSE,FALSE
